id,category,item,specification,quantity,required,evidence,source,buy_link
P18,printed part,base_skirt,ASA; exact file 3MF/base_skirt.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P19,printed part,bottom_service_plate,ASA; exact file 3MF/bottom_service_plate.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P20,printed part,ballast_cartridge,ASA; exact file 3MF/ballast_cartridge.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P21,printed part,ballast_cartridge_lid,ASA; exact file 3MF/ballast_cartridge_lid.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P22,calibration part,coupon_official_interface,ASA; exact file 3MF/coupon_official_interface.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P23,calibration part,coupon_active_driver,ASA; exact file 3MF/coupon_active_driver.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P24,calibration part,coupon_passive_radiator,ASA; exact file 3MF/coupon_passive_radiator.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P25,calibration part,coupon_heat_set_insert,ASA; exact file 3MF/coupon_heat_set_insert.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P26,calibration part,coupon_gasket_base,ASA; exact file 3MF/coupon_gasket_base.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P27,calibration part,coupon_gasket_cap,ASA; exact file 3MF/coupon_gasket_cap.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P28,calibration part,coupon_cable_passage,ASA; exact file 3MF/coupon_cable_passage.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
A01,active driver,Dayton Audio ND91-4,4 ohm full-range driver; manufacturer model ND91-4,1,yes,DERIVED_FROM_MANUFACTURER_DRAWING,references/manufacturer/Dayton_ND91-4_spec_2026-02-26.pdf,https://www.parts-express.com/Dayton-Audio-ND91-4-3-1-2-Aluminum-Cone-Full-Range-Driver-4-290-224
A02,passive radiator,Dayton Audio DSA115-PR,4 inch passive radiator with M5 mass post,2,yes,DERIVED_FROM_MANUFACTURER_DRAWING,https://www.daytonaudio.com/product/1588/dsa115-pr-4-designer-series-aluminum-cone-passive-radiator,https://www.parts-express.com/Dayton-Audio-DSA115-PR-4-Designer-Series-Aluminum-Cone-Passive-Radiator-295-544
E01,official electronics,FutureProofHomes Satellite1 Batch 1 development kit,Core rev4.1 + HAT rev4.1 / R2024.12.06; not Satellite1.1,1,yes,DERIVED_FROM_OFFICIAL_CAD,reference-assets/MANIFEST.csv,https://futureproofhomes.net/products/satellite1-kit
H01,insert,CNC Kitchen M3 x 5.7 heat-set insert,"M3x0.5 internal thread, 5.7 mm length, 4.6 mm maximum OD",48,yes; includes four spares,DERIVED_FROM_MANUFACTURER_DRAWING,CNCKitchen M3 x 5.7 standard insert,https://www.amazon.com/s?k=CNC+Kitchen+M3+heat+set+insert+M3x5.7
H02,speaker cable,2-pin JST-XH 2.54 mm speaker lead,"22 AWG stranded red/black, each insulated conductor OD <=1.8 mm, 350 mm minimum",1,yes,DERIVED_FROM_OFFICIAL_CAD,official Squircle enclosure documentation,https://www.amazon.com/s?k=JST-XH+2.54mm+2+pin+speaker+pigtail
H03,speaker terminals,solder the leads directly to the driver's terminal lugs,"The ND91-4 ships with flat solder lugs, each pierced by an oblong hole: thread the conductor through, crimp it closed, then flow solder, so the joint is mechanically captive rather than relying on solder for strength. Dress the wire toward the driver axis, never outward, and heat-shrink each joint. Radial bulk here is the binding constraint: the terminals are the widest thing that must pass the 76.65 mm bore, they clear it only through the notch, and the leads have to be attached before the driver goes in because the chamber is sealed after.",2 joints,recommended,ENGINEERING_ESTIMATE,builder supplied,https://www.amazon.com/s?k=3mm+heat+shrink+tubing+assortment
H04,speaker terminals,2.8 mm fully insulated female quick-disconnects,"Alternative to H03, and the weaker one. A disconnect body plus its sleeve stands 2 to 3 mm proud of the lug on the side that has the least room, and it is a rattle source inside a sealed chamber. It also buys nothing: reaching this joint means pulling the driver anyway. If used, verify the blade width against the lug first, measured across the flat face and not along it, and confirm the fit on the speaker-fit coupon before committing to the cabinet print.",2,optional,ENGINEERING_ESTIMATE,builder supplied,https://www.amazon.com/s?k=2.8mm+fully+insulated+female+quick+disconnect
B01,ballast,mild-steel plate,"100 x 92 x 6 mm, edges deburred, dry, light oil removed",2,yes,ENGINEERING_ESTIMATE,local metal supplier,https://www.onlinemetals.com/en/buy/steel/0-25-mild-steel-plate-a36-hot-rolled/pid/1156
B02,radiator tuning,M5 washers plus self-adhesive lead-free strip for final trim,"7.99 g per radiator, the two sets matched within 0.02 g, applied centred on the M5 mass post. Stack M5 washers for the bulk -- about 13 of them at roughly 0.6 g each -- then trim self-adhesive lead-free strip for the last fraction of a gram. Weigh both radiators' finished stacks and match them, rather than trusting counts",2 matched sets,yes; final mass requires physical tuning,ENGINEERING_ESTIMATE,weigh on 0.01 g scale,https://www.amazon.com/s?k=M5+flat+washer+stainless+assortment
G00,gasket stock,closed-cell EPDM foam sheet,"2.0 mm nominal, soft, smooth skin, ASTM D1056 2A1 or equivalent",one 300 x 300 mm sheet,yes,ENGINEERING_ESTIMATE,industrial rubber supplier,https://www.amazon.com/s?k=2mm+closed+cell+EPDM+foam+sheet+adhesive
D01,optional acoustic material,polyester acoustic batting,not installed in RC1; reserve for measurement-led development only,0,no,REQUIRES_PHYSICAL_VALIDATION,not applicable,https://www.parts-express.com/search?keywords=acoustic%20polyfill
O01,official printed part,official_mid_plate,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_mid_plate.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Mid-Plate/Mid-Plate.stl,printed by you
O02,official printed part,official_mid_plate_threads,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_mid_plate_threads.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Mid-Plate/Mid-Plate Threads.stl,printed by you
O03,official printed part,official_pcb_spacer,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_pcb_spacer.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/PCB Spacer.stl,printed by you
O04,official printed part,official_lock_ring,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_lock_ring.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/Lock Ring.stl,printed by you
O05,official printed part,official_top_plate,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_top_plate.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/Top Plate.stl,printed by you
O06,official printed part,official_top_plate_snap_in_diffuser_ring,ASA (PETG alternative); exact file OFFICIAL_PARTS/REQUIRED_SINGLE_MATERIAL/official_top_plate_snap_in_diffuser_ring.stl; preserved official STL,1,yes,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/Top Plate Snap-In Diffuser Ring.stl,printed by you
O07,official printed part,official_top_plate_mm_buttons,ASA (PETG alternative); exact file OFFICIAL_PARTS/OPTIONAL_MULTI_MATERIAL/official_top_plate_mm_buttons.stl; preserved official STL,1,optional alternative,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/Top Plate MM Buttons.stl,printed by you
O08,official printed part,official_top_plate_mm_diffuser_ring,ASA (PETG alternative); exact file OFFICIAL_PARTS/OPTIONAL_MULTI_MATERIAL/official_top_plate_mm_diffuser_ring.stl; preserved official STL,1,optional alternative,DERIVED_FROM_OFFICIAL_CAD,DIY Enclosures/Squircle Enclosures/Geometry Files/STL/Squircle Top/Top Plate MM Diffuser Ring.stl,printed by you
F01,fastener,M3 x 16 shoulder screw,"M3 x d4 shoulder screw, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
F02,fastener,M3 x 8 button head screw,"ISO 7380-1, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
F03,fastener,M3 x 8 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",8,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
F04,fastener,M3 x 10 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
F05,fastener,M3 x 10 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",8,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
F06,fastener,M3 x 6 button head screw,"ISO 7380-1, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
F07,fastener,M3 x 10 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
F08,fastener,M3 x 8 button head screw,"ISO 7380-1, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
F09,fastener,M3 x 8 button head screw,"ISO 7380-1, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
F10,fastener,M3 x 8 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
F11,fastener,M3 x 8 socket cap screw,"ISO 4762, A2-70 stainless, M3x0.5",4,yes,VERIFIED_DIGITALLY,industrial fastener supplier,https://www.mcmaster.com/screws/socket-head-screws/thread-size~m3/
